month day year B8570 B9100 LAVIO POLSA SMICH T0001 T0010 T0014 T0018 T0032 T0064 T0083 T0090 T0092 T0094 T0099 T0102 T0110 T0129 T0139 T0147 T0149 T0152 T0157 T0168 T0179 T0189 T0193 T0204 T0210 T0211 T0327 T0360 T0367 T0373
1 1 2021 0 1.15730160176904 0 6.49289318600397 0 0 0 0 0 0 0 0 0 0.403963044823292 0.698629200476391 0.47762805788194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.231895734812787 0
1 2 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 3 2021 0 0 0 0 0 0 0 0 0 0 0.211584341705716 0 0 0 0 0 0 0 0 0 0 0 0 0 9.043042688921 0 0 0 0 0 0 0 0 0 0
1 4 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 5 2021 0 0 0 34.9793506333315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 6 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.968525956866951 0 0 0 0 0 0 0 0 0 0 0 0
1 8 2021 0 0 0 0 0 0 0 0 0 0 22.4411823482629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.97651673813173 0 0
1 9 2021 0 0 0 14.3923104386995 0 0 0 0 0.817892400864371 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 10 2021 0 0 5.28922486951738 4.157967599131 0 0 0 0.840297124118874 0 0.21571249821628 2.71309022626984 0 0 0 1.55348280888488 0.482728554872316 0 0 0 0 0 0 5.27025540499585 1.50612672110336 12.1434958337094 0 4.17920828725553 0 0 0 0.814938683799874 2.00434876785598 0 0 10.7898553042637
1 11 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 12 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 13 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17271761844967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 14 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 15 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.88448485878116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.61730637424814
1 16 2021 0 0 0 0 0 0 0 0 2.64009296899185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 17 2021 0 4.85669353647977 3.20535180272444 0 0 0 0.225387318323184 0 1.43646210066075 4.28150830368919 3.15173900514111 0 0 0.20818917243342 0 0 0 0 0 2.87017504474335 0 0.403281824297185 0.571082802588684 15.4368662635424 0 0.163852709638203 0 0 38.700343686284 4.56516789045591 11.7066393465795 0 8.96492889159163 1.14567669525015 0
1 18 2021 0 0 0 0 0 0 0 0.634862956243189 0 0 0 0 0 0 2.68626202853166 0 0 0 0 0 0 0 0 0 4.53006929056279 0 0 0 0 0 0 0 0 0 0
1 19 2021 0 0 0 3.51031367861673 6.56649820492402 0 0 0 0 0 0 0 0 0 0 0.463028179145672 0 0 0 0 0 0 0 3.30478856118013 26.1819357821737 0 0 0 4.1293721822427 0 0 25.8382889494019 9.26535490646953 0 8.4708232423841
1 20 2021 0.89885274943351 0 5.32536658771223 0 0 0 0 0 2.05527636844791 0 6.0456176209305 0.285034820426337 0 0 0 0 0.438390088471495 0 0 0 0 2.43241289959452 0 37.5976648910182 23.5849035122248 23.7488063233635 0 0 18.9161823302618 0 0.933534238528655 0 16.2006186301082 0 15.3780967468831
1 21 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0.399038986093958 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 22 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.58321812395915 2.30320359100604 0 0 0 0 0 0 0 5.3901821717412 0 0
1 23 2021 0 0 2.13130493262978 0 0 0 0.452441994847593 0 0 0 0 0 0 2.28726379364318 0 0 0 0 0 0 0 0 0 18.3227747175854 0 0 0 0 9.4802577839535 0 0 0 0 0 0
1 24 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 25 2021 1.18478172880476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.209902242678983 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.25640539990081
1 26 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23307977597311 0 0 0 0
1 27 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 28 2021 0 0 0 0 0 0 0 0 0 0.214272002276531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 29 2021 0 0 0 6.59440611605383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.19709214214501 0 0 0 0 0 0 0
1 30 2021 0 0 0 0 3.76262634585058 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 31 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 1 2021 0 0 0 0 0 0 0 1.11769447010304 0 0 0 0 0 0 0 0 0 0.204261701623999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 2021 0 0 0 0 0 0 0 0 0.418793553773848 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 3 2021 0 0 0 1.22105138732162 0 0 0 0 0.831865886294237 11.9030921378694 0 0 0 0 0 0 2.43128275565739 0 0 0 0.445571490039827 0 3.06699451229509 0 0 0 0 0 0 0 0 23.7521279629219 0 0 0
2 4 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 5 2021 0 0 0 1.42744118511878 2.34734449583495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 6 2021 1.84739808812226 10.8910698884702 1.09133221365682 0 0 29.4519491609403 3.27116441252798 15.9826484930835 53.2199391819466 8.93946178722791 1.07409497928931 0 56.5998882482699 8.210056027667 1.04740763545278 3.81304319971286 9.00404214369707 22.9440171648116 27.1734927120322 11.3074659695616 0 39.189359932074 6.7712071214883 2.24194005678869 0.831619887746373 24.3435196842199 15.3598553465644 9.3483186182938 0 9.5473454613526 37.0107481776872 8.87275172048983 7.21167631143935 14.9851088268061 0
2 7 2021 2.52747817727153 3.91218628736582 5.75301249377405 5.70473368221942 0.965742833837066 1.09386981933604 18.2611682760098 24.5407278364297 12.4852971660828 4.99499275517488 0 0 17.3979619388454 2.70004190770039 10.0473975368552 0.476016658078566 0 20.6779838534474 0 0.405531014103832 23.2027079791328 13.9282215291365 23.5139592043292 0 1.86612836756813 0.156810573969515 30.1090565707587 5.70011231877104 0 6.51432453841484 2.3153256013317 1.23490158645503 6.62004626793699 60.398005769133 0.903502620345594
2 8 2021 46.1951928174686 27.0380977471714 10.6170855902902 0 0 40.8359608606935 48.2281638443522 45.2126595557817 53.2199391819466 50.24526220109 28.1501978034242 56.7930858081963 27.3528929763705 0.432508057793605 0 21.3219126280319 4.05299919114538 1.81966554476551 20.1855509802023 31.5241342924211 17.9135806127408 47.8296781803892 7.0027400907289 20.9254832656842 25.1803653924488 37.4726304872727 41.2647879644563 1.09111082030069 11.2596189376821 20.6807962079954 12.7644871617202 29.6242807547438 4.20637394317372 15.1528273953509 16.0051993068575
2 9 2021 0 0 0 0 0 0 0.21826390595279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.841259519287284 0 0 0 0 0
2 10 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 11 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.174546852148262 0 0 0 0 0
2 12 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.690877311981352
2 13 2021 0 0.4839359804163 0 1.23177664666114 0 7.67525843965136 2.26801689001594 8.0424853728549 0 0 0.85744459994157 3.74605876224151 0 0 0 0 1.0660043441063 23.1607875103274 0 5.45082761121798 0.418125246061525 25.6302413534419 0 16.3794997159169 0 4.33922996687536 15.3598553465644 3.65537742317332 5.09023204859534 0 1.40907817406667 0.208216146533011 39.7646596147938 0 0
2 14 2021 0 0 0 3.91949515822079 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 2021 0 0 0 0 0 0 0 0 0 0 2.61937761571304 0 0 0 0 0 0.208784304597762 0 0 0 0 0 0 0 0 0 0 0 0 0 1.40907817406667 0 0 0 0
2 16 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 17 2021 12.5905324815122 0 0 0 5.18511312243967 0 0 0 0.40166361805388 0 0 0 0 0 0 0 1.0660043441063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 18 2021 0 0 0 0 0 0 0 1.05275467192819 0 0 0 0 0 0 4.14112649868628 0 0 2.58345779872764 0 0 0 1.19396994645558 0 0 0.708323994243173 0 0 0 0 0 0 0 0 0 1.31066632325958
2 19 2021 0 0 0 2.43718611157553 0 0 0 0.642749532806155 0 0 0 0 3.89855849671614 0 0 5.92276219691401 1.63472582166017 0 0 0 0 0 2.27724937560267 0 0.207239707525436 0.377192071624259 0 0.452208912839559 0.265132352459601 2.1742707044442 0.803719335315182 0 0 0 0
2 20 2021 2.8515084303821 0 0 0 0 2.23878078399898 9.10149871958418 0 0 0.220819088374943 0 0.69367552855475 0 2.57436357507713 3.57962684452519 0 0 2.4246553028337 0 0 0.908683370378689 3.1906796364502 14.7049549097421 6.55074761111575 0.821995344798327 4.22092948214184 0 0 0 4.71839923992096 19.4205028045376 1.23490158645503 4.65008869522325 1.36163458443071 0
2 21 2021 0 0 0 0 0 0 0.222260682932549 0 0 0 0 0.288380156553253 0 0 1.04030441668827 0.229922602578613 1.14077937095137 0 0 0 0 0 0 0 0 0 0 0 0.229992101683285 0 0 0 0 0 0
2 22 2021 2.72628832141157 0 4.07618684778265 14.8193461413107 0.49257788603163 0 0 0 0 0 11.6031511542876 0 0 0 5.28680922395784 0 24.3250586375345 5.04520970957352 0 9.77980894773098 0 0 0 0 1.97904565741593 0 0 0 0 0 0 0.407730633425421 11.7382565289443 0 0
2 23 2021 0 25.0421678054684 8.82700158895113 6.38022773383532 0 0 4.49791952086765 6.02346831315801 18.4238823557493 0.20592806494363 4.95873007242295 0.69367552855475 10.5479572843143 0.383154664496673 26.8897862345362 0.239799772315678 4.41533787590263 9.4890229579125 1.23181087484885 0 0.426505090704552 2.01305009553298 0 12.989299686358 37.7619133026144 0 0 14.8340402674345 8.7365170380243 13.2711808336915 4.89465708839444 8.87275172048983 52.2106015281295 6.76123327680096 38.8092103936632
2 24 2021 0 0 0 0 1.27429173852643 0 2.50272999858332 0.642749532806155 0 0 0 0 0 8.82221610143914 0 5.93607221279206 0.835239080419242 0.446419570084741 0 0 0 0 1.56381702380883 2.34935256390959 2.13568533460366 18.3059478231309 0 0 0 4.7828788521122 12.7644871617202 1.23490158645503 0 1.3325789091941 1.97783259847884
2 25 2021 0 0 0 0 0 0.609362575582329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.7168864302504 0
2 26 2021 0 0 0 6.38498512324011 0 0 0 0 0 0 0 0 0 0 7.45073462006519 0.471724820356902 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.690877311981352
2 27 2021 9.11190356165113 0 10.0982181702674 9.91466302337121 0 5.34393525324141 0.861045010958466 59.1295300929618 8.31345112541393 8.93946178722791 23.7789639866414 4.81763750354843 0 1.38194614488448 20.0868880004335 0 1.92118464208275 5.22640636994336 20.1855509802023 1.66382309905852 23.1122697909762 25.1043387567909 17.3882562611396 19.4570235892689 25.3103763346507 1.40569310583889 0 18.0205210743923 10.1364961836712 20.6807962079954 0.678578422924794 4.42417905450985 0 31.8209284779021 0
2 28 2021 0 0 0 0 0 0.204017605153292 0 45.2126595557817 28.3018984881081 2.26735453366498 23.7789639866414 0.264783388207422 17.3979619388454 0.834759630539768 1.55409142321856 0 0.447783506234747 0.875032205681141 0 0 0 0 0 3.72739108656251 0 3.39125433657572 0 0 0 0 0 5.25292637716723 0.602978195408725 0 9.51281058496073
3 1 2021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.17132543308014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 2 2021 4.57139133067096 0.127161645184886 18.7212231774833 2.2129336735656 0 0 1.67581778731635 3.18641756204743 4.45286734275211 0 3.5286435081516 0 3.36433179401846 5.49884745218579 2.3991572622622 0.722350380434446 9.05148077161649 0 4.09660771849242 5.61347338361644 2.75545760137844 0 8.1414746719594 0 4.42635691361341 1.4346226171373 0 2.72386696150162 1.24469309788184 1.65523354719766 2.26578955481583 5.56702637837074 1.16183065020343 0 19.8125631756396
3 3 2021 6.33237678236566 0 4.7911056094424 0 0 0 0 4.96616613474388 8.30100712872221 0.246024179345822 0 1.01116048320442 0 2.24490634866805 42.5347075739724 2.41844721969386 0.233978472598249 0 0 3.04116533787215 0 0 0 7.94528692719102 8.15739895141669 0.414915547131016 1.22653126026807 2.47164895512485 0 0 8.25860175462868 0 0 0.504598248121519 0
