month day year B8570 B9100 LAVIO POLSA SMICH T0001 T0010 T0014 T0018 T0032 T0064 T0083 T0090 T0092 T0094 T0099 T0102 T0110 T0129 T0139 T0147 T0149 T0152 T0157 T0168 T0179 T0189 T0193 T0204 T0210 T0211 T0327 T0360 T0367 T0373
1 1 2073 0.0958333333333 -1.16666666667 -1.17916666667 1.38333333333 -0.220833333333 1.89166666667 -2.60833333333 -1.22083333333 -2.975 2.42083333333 -8.47916666667 -0.245833333333 -0.4125 -2.85833333333 -18.0666666667 -6.0 -2.2625 0.7 -0.5625 -2.99583333333 1.34166666667 -1.35 2.48333333333 1.3875 -1.67083333333 -1.0625 9.15833333333 0.441666666667 0.779166666667 -1.97083333333 1.99583333333 2.67083333333 -11.8583333333 -6.26666666667 -0.7
1 2 2073 1.2375 1.80416666667 -4.375 0.516666666667 -1.62916666667 1.89166666667 1.55 -0.933333333333 -0.620833333333 -1.07083333333 -2.65416666667 1.81666666667 7.3875 -1.62916666667 -14.1625 -16.5416666667 0.404166666667 -3.94166666667 -0.570833333333 -5.14166666667 3.41666666667 -2.5875 0.0833333333333 5.00416666667 -0.895833333333 -0.0583333333333 5.8375 -0.691666666667 1.19166666667 -1.27083333333 2.24166666667 1.85833333333 -10.025 -3.19166666667 -6.53333333333
1 3 2073 0.608333333333 -3.19583333333 -3.30416666667 2.54166666667 1.54583333333 3.60416666667 1.275 1.15 -3.50833333333 -1.65833333333 -7.02916666667 -2.73333333333 8.54583333333 -3.10833333333 -11.375 -9.79166666667 -1.29166666667 -0.0375 0.658333333333 -1.51666666667 1.15 -1.32916666667 1.57916666667 4.80416666667 -0.958333333333 0.820833333333 3.5125 0.475 2.175 -3.40416666667 0.291666666667 -6.45416666667 -6.6375 -1.55 -3.8
1 4 2073 0.25 -1.43333333333 -11.2666666667 1.975 2.50416666667 0.958333333333 6.6375 3.10833333333 -4.95416666667 0.366666666667 -3.05416666667 -0.933333333333 2.42083333333 -6.3125 -7.7375 -11.6958333333 -6.3375 3.225 0.616666666667 0.0958333333333 3.40833333333 1.57916666667 0.3375 1.1625 1.89166666667 0.233333333333 6.98333333333 4.9375 -7.07916666667 1.17916666667 2.3625 -1.34166666667 -6.1 -7.72083333333 -2.60833333333
1 5 2073 0.616666666667 -4.52916666667 -7.48333333333 2.61666666667 1.10416666667 -0.145833333333 8.40833333333 3.01666666667 -3.875 3.04583333333 -4.42916666667 -0.604166666667 1.66666666667 -13.4708333333 -1.52083333333 -5.32916666667 -4.41666666667 0.45 3.52916666667 3.34583333333 0.358333333333 7.1125 1.57916666667 2.09583333333 1.775 2.1 1.52083333333 4.525 -1.01666666667 -0.395833333333 1.14166666667 -3.1375 -8.4875 -4.7125 3.45
1 6 2073 4.4125 1.56666666667 -7.675 -2.21666666667 -0.391666666667 4.7125 3.0125 2.72083333333 2.34166666667 4.34583333333 -8.59166666667 3.27916666667 1.03333333333 -6.65833333333 -3.2375 -1.94166666667 -7.87083333333 0.470833333333 5.05416666667 7.30416666667 3.5125 -1.09583333333 -1.2 -0.833333333333 -5.05 -5.9875 4.99166666667 7.48333333333 -5.99166666667 2.18333333333 -3.57083333333 -0.454166666667 -5.11666666667 -2.02083333333 4.4125
1 7 2073 1.95 0.516666666667 -3.33333333333 -0.0666666666667 1.775 5.325 2.625 -0.2375 3.10416666667 1.25416666667 -0.00833333333333 1.65833333333 -1.45833333333 -2.9125 -3.93333333333 -2.34583333333 -5.225 1.0125 2.54583333333 5.425 -1.85037170771e-17 0.0375 1.95416666667 0.45 -8.78333333333 -4.22916666667 7.26666666667 7.30416666667 -0.604166666667 -5.86666666667 -3.94583333333 -1.04166666667 -2.40416666667 2.74583333333 -4.39583333333
1 8 2073 3.01666666667 2.91666666667 -2.59583333333 -3.25833333333 2.54166666667 5.80833333333 1.55416666667 0.845833333333 -5.02916666667 0.716666666667 5.50416666667 1.3125 1.6125 -1.99583333333 -9.57916666667 -3.14583333333 -0.983333333333 -1.45833333333 2.31666666667 -0.05 -1.66666666667 2.03333333333 -0.116666666667 1.59166666667 -7.42083333333 -2.05833333333 -5.75 7.69166666667 2.2 -1.41666666667 -3.54166666667 -3.64166666667 -0.191666666667 5.525 -3.15
1 9 2073 3.04166666667 -1.24583333333 -6.6875 -6.2125 3.35833333333 -0.695833333333 3.625 3.1375 0.204166666667 -0.0208333333333 -1.175 0.216666666667 2.96666666667 -4.97083333333 -5.12083333333 -2.3375 -3.07083333333 0.541666666667 1.23333333333 1.67916666667 -1.7625 0.320833333333 4.2125 1.85833333333 -6.925 -3.25416666667 1.29166666667 6.63333333333 4.675 1.4125 -2.74166666667 -6.8875 3.28333333333 5.87916666667 -7.71666666667
1 10 2073 4.32083333333 -1.93333333333 -4.9875 -4.67083333333 2.1625 -1.025 6.28333333333 4.89583333333 1.82083333333 -5.41666666667 1.95833333333 3.29166666667 1.9 -2.5375 -2.325 3.57083333333 -12.6083333333 -3.9875 -0.55 -5.1875 -0.633333333333 3.50416666667 1.29166666667 2.61666666667 -1.575 -1.75416666667 -0.195833333333 7.28333333333 -3.08333333333 1.68333333333 0.204166666667 -11.0458333333 -0.3625 -2.84166666667 -1.3125
1 11 2073 1.01666666667 -1.86666666667 -2.7125 -5.5875 4.49583333333 -1.05416666667 9.50416666667 4.775 -0.629166666667 -5.76666666667 -2.92916666667 0.879166666667 3.69166666667 -2.94166666667 -9.22083333333 6.625 -8.20416666667 -2.875 0.504166666667 -2.70833333333 0.504166666667 2.13333333333 1.45 0.470833333333 -3.17916666667 0.558333333333 1.3125 1.725 -2.39166666667 0.858333333333 0.904166666667 -3.2875 2.77083333333 1.32916666667 -4.00833333333
1 12 2073 -0.654166666667 1.04166666667 -3.68333333333 -2.6125 0.683333333333 2.89166666667 11.6708333333 3.6 -5.10416666667 -6.8875 2.87083333333 3.22916666667 5.49166666667 -1.22916666667 -8.2125 1.73333333333 -13.4916666667 -1.68333333333 -1.5 -1.275 -2.92916666667 3.49166666667 1.87083333333 -3.6875 -1.975 2.3125 4.90416666667 2.0625 2.26666666667 2.39583333333 -0.5875 -3.05833333333 0.291666666667 -5.76666666667 -1.90833333333
1 13 2073 0.075 3.73333333333 -8.62916666667 0.433333333333 2.83333333333 6.525 4.575 4.72916666667 1.67916666667 -4.50833333333 2.64166666667 -0.3125 6.225 -1.84583333333 -5.13333333333 2.67916666667 -11.8625 1.87083333333 -6.4375 -1.9375 -4.5125 0.0375 4.15416666667 -0.275 1.45416666667 1.00416666667 4.5625 -1.9375 -2.04166666667 3.05833333333 5.59166666667 -2.16666666667 -4.125 -3.5375 -8.56666666667
1 14 2073 2.04583333333 0.229166666667 -8.69166666667 -0.470833333333 4.69166666667 -9.72083333333 3.29166666667 2.36666666667 3.35 2.37916666667 2.31666666667 3.2625 7.30416666667 -4.65416666667 -4.42083333333 -1.6 -6.2375 -0.695833333333 -1.19166666667 0.8 -0.695833333333 0.604166666667 1.64166666667 0.120833333333 -0.525 -3.85416666667 -0.895833333333 1.13333333333 -0.45 -0.45 7.87083333333 -0.879166666667 -0.220833333333 1.6125 -3.1375
1 15 2073 1.32083333333 -0.345833333333 -4.875 -1.84166666667 4.46666666667 -2.525 3.6375 1.74166666667 -1.56666666667 -0.0916666666667 3.34166666667 -0.683333333333 4.09583333333 -10.0333333333 -3.35416666667 -5.95 -4.63333333333 1.94166666667 -0.866666666667 -3.31666666667 -2.52083333333 2.10416666667 3.775 2.43333333333 1.19583333333 -1.32083333333 4.2875 3.325 2.82083333333 -1.575 8.30416666667 5.05 -4.4625 -2.7 -2.67083333333
1 16 2073 -1.32083333333 0.8625 -4.17083333333 3.04166666667 4.7 2.15 -0.8625 1.8625 0.341666666667 1.32916666667 0.829166666667 -0.891666666667 5.23333333333 -8.67083333333 -14.2708333333 -9.10416666667 1.34166666667 3.92916666667 0.2875 -1.75 -1.92083333333 6.2625 -4.1 0.8625 -2.47083333333 0.295833333333 6.25 0.6125 4.67916666667 1.9875 6.02083333333 5.525 -2.30833333333 1.18333333333 1.28333333333
1 17 2073 3.32083333333 1.15 -4.70416666667 4.3375 2.9125 2.25 3.29166666667 4.38333333333 -4.91666666667 -0.233333333333 -0.2 1.37916666667 6.94583333333 -5.02916666667 -12.1541666667 -2.85416666667 2.94583333333 -0.891666666667 1.53333333333 5.625 0.829166666667 1.92083333333 -2.89166666667 1.23333333333 1.14166666667 -7.1625 7.83333333333 0.729166666667 -6.82083333333 0.616666666667 2.875 -1.45416666667 -6.80416666667 -0.225 -1.93333333333
1 18 2073 6.09583333333 1.26666666667 -2.34166666667 -2.675 4.2 5.40833333333 -0.916666666667 0.116666666667 1.31666666667 -0.2875 1.39166666667 -4.31666666667 1.0625 -2.74166666667 -7.7375 -0.704166666667 2.27083333333 2.48333333333 2.10833333333 3.18333333333 0.541666666667 3.79166666667 -1.60833333333 1.22083333333 1.44583333333 -6.80416666667 9.01666666667 3.79583333333 -0.879166666667 -5.55833333333 4.36666666667 -0.741666666667 -4.6625 1.54583333333 0.629166666667
1 19 2073 1.34166666667 4.52083333333 -1.97083333333 -1.75 1.32083333333 1.6875 3.24583333333 0.254166666667 6.12916666667 2.42083333333 1.25 -0.2875 -1.89166666667 -3.12916666667 -1.42916666667 -2.525 -0.283333333333 1.19583333333 -0.741666666667 -1.35416666667 -0.108333333333 3.40416666667 -4.02916666667 4.78333333333 -1.40416666667 -2.04583333333 6.01666666667 0.608333333333 3.3875 -7.27083333333 1.9875 -2.90416666667 -3.48333333333 -4.27916666667 -0.270833333333
1 20 2073 2.35833333333 3.1375 1.88333333333 -5.9125 2.84166666667 2.1875 5.94166666667 0.641666666667 1.94166666667 4.275 -1.19166666667 1.02916666667 -0.00416666666667 -6.10833333333 -6.5625 0.820833333333 3.37916666667 -1.94166666667 -0.225 2.74583333333 2.05833333333 -1.3125 -2.2875 1.45416666667 -2.26666666667 -1.20416666667 0.604166666667 1.04583333333 2.80416666667 -3.925 0.425 -3.0375 -2.225 1.00833333333 -8.54166666667
1 21 2073 1.44166666667 -7.5625 -3.675 -6.00416666667 1.15833333333 3.03333333333 2.91666666667 1.52916666667 3.87916666667 -0.433333333333 3.6125 -0.908333333333 3.49583333333 -3.94166666667 -1.05833333333 -1.40416666667 2.72916666667 -2.44166666667 2.57083333333 3.54583333333 0.9125 2.275 0.116666666667 -0.0916666666667 -1.58333333333 1.3125 2.84583333333 4.52916666667 3.10416666667 -2.37916666667 2.94166666667 1.61666666667 -3.70833333333 1.7375 -5.8625
1 22 2073 2.30833333333 -2.84583333333 -0.766666666667 -1.14583333333 3.26666666667 -4.725 -0.633333333333 -2.05833333333 -7.19166666667 -3.3875 0.9875 2.13333333333 0.954166666667 -7.16666666667 2.67083333333 -0.0458333333333 1.00833333333 -2.5625 2.31666666667 3.67916666667 1.8125 3.36666666667 2.94166666667 2.20833333333 -5.94583333333 -2.94583333333 7.00416666667 5.71666666667 4.8125 0.141666666667 -1.38333333333 -1.20833333333 -2.4875 -5.0375 0.420833333333
1 23 2073 3.8875 0.645833333333 -1.27083333333 -0.720833333333 1.0125 0.0541666666667 -0.725 0.770833333333 -6.24583333333 -3.78333333333 4.11666666667 -0.8125 3.5875 -2.40416666667 -2.64583333333 -9.35 -2.7625 -1.025 5.87916666667 -2.75 2.99166666667 3.48333333333 4.75 3.55833333333 -9.09583333333 -4.21666666667 5.87916666667 6.725 -1.32916666667 -1.03333333333 -0.229166666667 -0.979166666667 0.920833333333 2.73333333333 0.625
