month day year B8570 B9100 LAVIO POLSA SMICH T0001 T0010 T0014 T0018 T0032 T0064 T0083 T0090 T0092 T0094 T0099 T0102 T0110 T0129 T0139 T0147 T0149 T0152 T0157 T0168 T0179 T0189 T0193 T0204 T0210 T0211 T0327 T0360 T0367 T0373
1 1 2073 0 14.5162026759224 0 0.478949043771409 1.48879319641046 14.3949928173268 13.9977333310712 4.06314151379555 3.94053364460291 5.54365215808798 0.901455138323898 4.45402644575397 10.7116643648946 1.56360303542354 18.3260489800451 0.254545721238593 2.17729431691012 8.51847245938295 10.8903694024003 4.28526494710176 6.86342110845536 32.4214248022581 27.7470294602721 0 24.8368255434567 0 0.808817663423403 15.1880163886193 0.251246023978735 4.64108619156677 13.5543661488681 14.0044906431186 0 17.1247390567309 0
1 2 2073 0 0 23.0279840893217 33.6560637340072 21.1062497352341 0 0 0 0 0 0 0.708835826164646 16.5117346201074 0.702236728731682 1.29213373145441 0.140735624402505 0 0 0 0 0 0 0 0 6.44280585258742 0 3.92277934729747 0 0 0 0 0 0 0.513560658990616 2.58495573831812
1 3 2073 3.56633281024149 7.98687193816422 41.9816274520527 36.2710735179135 0 71.7389740672417 15.1996428655391 2.42250513552287 42.7861341571195 38.1746562326142 14.399576901515 6.47875251873139 18.2069148682915 2.80461381240866 2.23740033849634 0 1.49854381457908 12.0282267688874 2.02643435919127 19.1265903923245 70.6016735397334 26.8464148660200 18.642171340506 33.772556244282 31.6177423533999 25.9858401062859 8.35876701321644 21.3420733683471 7.62882571945654 5.60277860729717 36.4809481018499 31.0022463506963 46.0967433978827 23.6320999589025 16.4410132517049
1 4 2073 1.21514534790345 0 12.7851556405502 0.244093485871722 0 36.0150050015863 76.6619134153398 18.6642993457603 6.10698187252522 23.0239017026327 77.5207800287019 25.9064882936958 0 7.4614992845957 0 0.285677066670462 3.70908164674997 1.50444920082642 23.2803314625311 148.627345721689 18.4744355183348 41.8881371152930 0 1.76874104000112 166.167910980702 35.9889235066788 32.5747492554421 60.7424538007379 76.2990479745204 3.11149563577187 19.6186447162842 124.956601582362 38.202978731109 17.3308014597881 47.9377016717533
1 5 2073 0 0 0 0 0 0 0.239818552105681 0 8.6837197277785 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 6 2073 0 0 0 29.4828220686247 77.7374290098803 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.32154702240715 0 5.21958547479042 0 0 0 0 0 0 0 0 0
1 7 2073 0 0 7.63126595854023 0 0 0 0.23551347565937 0 0.454184724909182 3.80661385402426 0 17.1921801683304 15.8659389571379 0 0 2.25311564883872 0 1.24633261009954 0 0.499369944781419 0 0 0 38.75440589564 0 79.7151394816797 27.4440160114314 6.08466096659321 10.9825227575903 0.888220185981521 0.89196448451972 0.472332504264166 0 0 0
1 8 2073 0 0 0 0 0 0 0 0 0 0 0 1.02591434539246 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 9 2073 0.293307270032546 6.80513449021926 0 0 0.139280843778865 0 0 0.78566523531822 0 0 1.12517360460136 0 0 0 8.40046693000105 13.5429644059730 1.98106086877648 8.25878920834432 2.04690369645348 0 0 0 40.0447907308516 0.258599382417437 10.8932329487318 0 0 0 0 0 19.9141280366537 0 0 28.8150202020666 9.31686785177278
1 10 2073 0.506867811700641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.255545813185865 0 0 0 0
